word,wording,model,temperature,feature,k,n,rate,ci_lo,ci_hi
spinkletta,W1,gpt-5.4-mini,1.0,object_collecting,26,50,0.520,0.385,0.652
spinkletta,W1,gpt-5.4-mini,1.0,mood_color,19,50,0.380,0.259,0.518
spinkletta,W1,gpt-5.4-mini,1.0,waddle_gait,18,50,0.360,0.241,0.499
spinkletta,W1,gpt-5.4-mini,1.0,shy_gentle,49,50,0.980,0.895,0.996
spinkletta,W1,gpt-5.4-mini,1.0,curious,49,50,0.980,0.895,0.996
spinkletta,W1,gpt-5.4-mini,1.0,name_from_sound,2,50,0.040,0.011,0.135
spinkletta,W1,gpt-5.4-nano,0.0,round_body,24,30,0.800,0.627,0.905
spinkletta,W1,gpt-5.4-nano,0.0,soft_texture,30,30,1.000,0.886,1.000
spinkletta,W1,gpt-5.4-nano,0.0,lavender_purple,5,30,0.167,0.073,0.336
spinkletta,W1,gpt-5.4-nano,0.0,six_legs,0,30,0.000,0.000,0.114
spinkletta,W1,gpt-5.4-nano,0.0,humming_vocal,5,30,0.167,0.073,0.336
spinkletta,W1,gpt-5.4-nano,0.0,bioluminescence,13,30,0.433,0.274,0.608
spinkletta,W1,gpt-5.4-nano,0.0,large_eyes,18,30,0.600,0.423,0.754
spinkletta,W1,gpt-5.4-nano,0.0,spiral_tail,1,30,0.033,0.006,0.167
spinkletta,W1,gpt-5.4-nano,0.0,object_collecting,10,30,0.333,0.192,0.512
spinkletta,W1,gpt-5.4-nano,0.0,mood_color,6,30,0.200,0.095,0.373
spinkletta,W1,gpt-5.4-nano,0.0,waddle_gait,11,30,0.367,0.219,0.545
spinkletta,W1,gpt-5.4-nano,0.0,shy_gentle,25,30,0.833,0.664,0.927
spinkletta,W1,gpt-5.4-nano,0.0,curious,30,30,1.000,0.886,1.000
spinkletta,W1,gpt-5.4-nano,0.0,name_from_sound,0,30,0.000,0.000,0.114
spinkletta,W1,gpt-5.4-nano,1.0,round_body,37,50,0.740,0.604,0.841
spinkletta,W1,gpt-5.4-nano,1.0,soft_texture,50,50,1.000,0.929,1.000
spinkletta,W1,gpt-5.4-nano,1.0,lavender_purple,12,50,0.240,0.143,0.374
spinkletta,W1,gpt-5.4-nano,1.0,six_legs,1,50,0.020,0.004,0.105
spinkletta,W1,gpt-5.4-nano,1.0,humming_vocal,10,50,0.200,0.112,0.330
spinkletta,W1,gpt-5.4-nano,1.0,bioluminescence,25,50,0.500,0.366,0.634
spinkletta,W1,gpt-5.4-nano,1.0,large_eyes,17,50,0.340,0.224,0.478
spinkletta,W1,gpt-5.4-nano,1.0,spiral_tail,4,50,0.080,0.032,0.188
spinkletta,W1,gpt-5.4-nano,1.0,object_collecting,15,50,0.300,0.191,0.438
spinkletta,W1,gpt-5.4-nano,1.0,mood_color,12,50,0.240,0.143,0.374
spinkletta,W1,gpt-5.4-nano,1.0,waddle_gait,29,50,0.580,0.442,0.706
spinkletta,W1,gpt-5.4-nano,1.0,shy_gentle,34,50,0.680,0.542,0.792
spinkletta,W1,gpt-5.4-nano,1.0,curious,49,50,0.980,0.895,0.996
spinkletta,W1,gpt-5.4-nano,1.0,name_from_sound,2,50,0.040,0.011,0.135
zikrath,W1,claude-haiku-4-5,0.0,round_body,0,30,0.000,0.000,0.114
zikrath,W1,claude-haiku-4-5,0.0,soft_texture,21,30,0.700,0.521,0.833
zikrath,W1,claude-haiku-4-5,0.0,lavender_purple,27,30,0.900,0.744,0.965
zikrath,W1,claude-haiku-4-5,0.0,six_legs,13,30,0.433,0.274,0.608
zikrath,W1,claude-haiku-4-5,0.0,humming_vocal,30,30,1.000,0.886,1.000
zikrath,W1,claude-haiku-4-5,0.0,bioluminescence,30,30,1.000,0.886,1.000
zikrath,W1,claude-haiku-4-5,0.0,large_eyes,7,30,0.233,0.118,0.409
zikrath,W1,claude-haiku-4-5,0.0,spiral_tail,0,30,0.000,0.000,0.114
zikrath,W1,claude-haiku-4-5,0.0,object_collecting,0,30,0.000,0.000,0.114
zikrath,W1,claude-haiku-4-5,0.0,mood_color,0,30,0.000,0.000,0.114
zikrath,W1,claude-haiku-4-5,0.0,waddle_gait,0,30,0.000,0.000,0.114
zikrath,W1,claude-haiku-4-5,0.0,shy_gentle,4,30,0.133,0.053,0.297
zikrath,W1,claude-haiku-4-5,0.0,curious,30,30,1.000,0.886,1.000
zikrath,W1,claude-haiku-4-5,0.0,name_from_sound,0,30,0.000,0.000,0.114
zikrath,W1,claude-haiku-4-5,1.0,round_body,4,50,0.080,0.032,0.188
zikrath,W1,claude-haiku-4-5,1.0,soft_texture,25,50,0.500,0.366,0.634
zikrath,W1,claude-haiku-4-5,1.0,lavender_purple,35,50,0.700,0.562,0.809
zikrath,W1,claude-haiku-4-5,1.0,six_legs,9,50,0.180,0.098,0.308
zikrath,W1,claude-haiku-4-5,1.0,humming_vocal,25,50,0.500,0.366,0.634
zikrath,W1,claude-haiku-4-5,1.0,bioluminescence,47,50,0.940,0.838,0.979
zikrath,W1,claude-haiku-4-5,1.0,large_eyes,16,50,0.320,0.208,0.458
zikrath,W1,claude-haiku-4-5,1.0,spiral_tail,0,50,0.000,0.000,0.071
zikrath,W1,claude-haiku-4-5,1.0,object_collecting,4,50,0.080,0.032,0.188
zikrath,W1,claude-haiku-4-5,1.0,mood_color,5,50,0.100,0.043,0.214
zikrath,W1,claude-haiku-4-5,1.0,waddle_gait,0,50,0.000,0.000,0.071
zikrath,W1,claude-haiku-4-5,1.0,shy_gentle,21,50,0.420,0.294,0.558
zikrath,W1,claude-haiku-4-5,1.0,curious,42,50,0.840,0.715,0.917
zikrath,W1,claude-haiku-4-5,1.0,name_from_sound,0,50,0.000,0.000,0.071
zikrath,W1,claude-sonnet-4-6,0.0,round_body,0,30,0.000,0.000,0.114
zikrath,W1,claude-sonnet-4-6,0.0,soft_texture,1,30,0.033,0.006,0.167
zikrath,W1,claude-sonnet-4-6,0.0,lavender_purple,2,30,0.067,0.018,0.213
zikrath,W1,claude-sonnet-4-6,0.0,six_legs,25,30,0.833,0.664,0.927
zikrath,W1,claude-sonnet-4-6,0.0,humming_vocal,15,30,0.500,0.332,0.668
zikrath,W1,claude-sonnet-4-6,0.0,bioluminescence,14,30,0.467,0.302,0.639
zikrath,W1,claude-sonnet-4-6,0.0,large_eyes,9,30,0.300,0.167,0.479
zikrath,W1,claude-sonnet-4-6,0.0,spiral_tail,0,30,0.000,0.000,0.114
zikrath,W1,claude-sonnet-4-6,0.0,object_collecting,4,30,0.133,0.053,0.297
zikrath,W1,claude-sonnet-4-6,0.0,mood_color,2,30,0.067,0.018,0.213
zikrath,W1,claude-sonnet-4-6,0.0,waddle_gait,0,30,0.000,0.000,0.114
